"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/06/2020 00:10:09:522 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"3","10","0.1","15","true","10","true","true","10","35","15","true","143","0","0"
"4","10","0.1","15","true","10","true","true","10","35","15","true","84","8","0"
"2","10","0.1","15","true","10","true","true","10","35","15","true","81","6","0"
"1","10","0.1","15","true","10","true","true","10","35","15","true","84","2","0"
"7","10","0.1","15","true","10","true","true","10","35","15","true","92","7","0"
"6","10","0.1","15","true","10","true","true","10","35","15","true","77","3","0"
"5","10","0.1","15","true","10","true","true","10","35","15","true","80","7","0"
"8","10","0.1","15","true","10","true","true","10","35","15","true","109","1","0"
"10","10","0.1","15","true","10","true","true","10","35","15","true","55","6","0"
"9","10","0.1","15","true","10","true","true","10","35","15","true","99","3","0"
