"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 18:39:03:352 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"1","10","0","15","false","10","false","true","10","35","15","false","45","8","0"
"5","10","0","15","false","10","false","true","10","35","15","false","85","8","0"
"3","10","0","15","false","10","false","true","10","35","15","false","106","5","0"
"4","10","0","15","false","10","false","true","10","35","15","false","125","1","0"
"2","10","0","15","false","10","false","true","10","35","15","false","99","6","0"
"6","10","0","15","false","10","false","true","10","35","15","false","129","0","0"
"9","10","0","15","false","10","false","true","10","35","15","false","99","5","0"
"10","10","0","15","false","10","false","true","10","35","15","false","104","5","0"
"8","10","0","15","false","10","false","true","10","35","15","false","79","2","0"
"7","10","0","15","false","10","false","true","10","35","15","false","94","0","0"
