"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 18:29:50:270 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"1","15","0","20","false","15","false","false","15","50","20","false","29","14","0"
"2","15","0","20","false","15","false","false","15","50","20","false","68","13","0"
"3","15","0","20","false","15","false","false","15","50","20","false","38","13","0"
"4","15","0","20","false","15","false","false","15","50","20","false","61","14","0"
"7","15","0","20","false","15","false","false","15","50","20","false","36","14","0"
"5","15","0","20","false","15","false","false","15","50","20","false","75","13","0"
"9","15","0","20","false","15","false","false","15","50","20","false","66","13","0"
"8","15","0","20","false","15","false","false","15","50","20","false","109","4","0"
"10","15","0","20","false","15","false","false","15","50","20","false","96","11","0"
"6","15","0","20","false","15","false","false","15","50","20","false","78","12","0"
