"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/06/2020 00:42:02:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"4","15","0.2","20","true","15","true","true","15","50","20","true","63","10","0"
"2","15","0.2","20","true","15","true","true","15","50","20","true","53","12","0"
"6","15","0.2","20","true","15","true","true","15","50","20","true","49","10","0"
"1","15","0.2","20","true","15","true","true","15","50","20","true","79","8","0"
"8","15","0.2","20","true","15","true","true","15","50","20","true","49","9","0"
"5","15","0.2","20","true","15","true","true","15","50","20","true","115","1","0"
"9","15","0.2","20","true","15","true","true","15","50","20","true","68","10","0"
"7","15","0.2","20","true","15","true","true","15","50","20","true","102","3","0"
"10","15","0.2","20","true","15","true","true","15","50","20","true","89","5","0"
"3","15","0.2","20","true","15","true","true","15","50","20","true","119","0","0"
