"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 19:01:56:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"4","15","0","20","false","15","false","true","15","50","20","true","36","12","0"
"2","15","0","20","false","15","false","true","15","50","20","true","42","11","0"
"3","15","0","20","false","15","false","true","15","50","20","true","25","12","0"
"6","15","0","20","false","15","false","true","15","50","20","true","59","11","0"
"1","15","0","20","false","15","false","true","15","50","20","true","50","10","0"
"5","15","0","20","false","15","false","true","15","50","20","true","67","10","0"
"7","15","0","20","false","15","false","true","15","50","20","true","58","10","0"
"8","15","0","20","false","15","false","true","15","50","20","true","51","15","0"
"10","15","0","20","false","15","false","true","15","50","20","true","24","12","0"
"9","15","0","20","false","15","false","true","15","50","20","true","59","11","0"
