"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 19:05:53:732 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"2","5","0","10","true","5","false","true","5","25","10","true","96","1","0"
"4","5","0","10","true","5","false","true","5","25","10","true","129","0","0"
"1","5","0","10","true","5","false","true","5","25","10","true","122","0","0"
"7","5","0","10","true","5","false","true","5","25","10","true","109","1","0"
"6","5","0","10","true","5","false","true","5","25","10","true","119","0","0"
"5","5","0","10","true","5","false","true","5","25","10","true","139","0","0"
"3","5","0","10","true","5","false","true","5","25","10","true","119","0","0"
"10","5","0","10","true","5","false","true","5","25","10","true","114","1","0"
"9","5","0","10","true","5","false","true","5","25","10","true","144","0","0"
"8","5","0","10","true","5","false","true","5","25","10","true","99","2","0"
