"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 19:11:04:032 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"4","15","0","20","true","15","false","true","15","50","20","true","86","10","0"
"3","15","0","20","true","15","false","true","15","50","20","true","50","11","0"
"2","15","0","20","true","15","false","true","15","50","20","true","63","11","0"
"1","15","0","20","true","15","false","true","15","50","20","true","150","0","0"
"6","15","0","20","true","15","false","true","15","50","20","true","119","0","0"
"7","15","0","20","true","15","false","true","15","50","20","true","99","6","0"
"5","15","0","20","true","15","false","true","15","50","20","true","124","0","0"
"8","15","0","20","true","15","false","true","15","50","20","true","104","5","0"
"10","15","0","20","true","15","false","true","15","50","20","true","35","11","0"
"9","15","0","20","true","15","false","true","15","50","20","true","114","1","0"
