"BehaviorSpace results (NetLogo 6.0.4)"
"IIA_Ficha5_Inicio.nlogo"
"experiment"
"11/03/2020 14:17:21:154 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"taxa_alteracao","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"n_agentes","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"perc_comida","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15"
"[steps]","5000","4051","5000","151","2551","5000","501","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000"

"[initial & final values]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"2","0","1","0","0","2","0","1","2","1","4","4","6","2","6","4","4","6","4","7","2","4","5","9","4","4","7","7","4","8"
